interval,std,score,wick_ratio,cooldown,trades,win_rate,pnl
1,1.8,5,0.4,20,51,85.07462686567165,15737.794115337681
1,1.8,5,0.4,30,51,85.07462686567165,15737.794115337681
1,2.2,4,0.3,30,76,76.28865979381443,15590.012893504867
1,2.2,4,0.4,30,76,76.28865979381443,15590.012893504867
1,2.2,4,0.35,30,76,76.28865979381443,15590.012893504867
1,2.2,5,0.4,30,51,81.81818181818183,14318.586005702977
1,2.2,5,0.4,20,51,81.81818181818183,14318.586005702977
1,2.2,5,0.4,15,51,81.81818181818183,14318.586005702977
1,2.2,5,0.35,30,51,81.81818181818183,14318.586005702977
1,2.2,5,0.35,20,51,81.81818181818183,14318.586005702977
1,2.2,5,0.35,15,51,81.81818181818183,14318.586005702977
1,2.2,5,0.3,30,51,81.81818181818183,14318.586005702977
1,2.2,5,0.3,20,51,81.81818181818183,14318.586005702977
1,2.2,5,0.3,15,51,81.81818181818183,14318.586005702977
1,2.0,4,0.3,30,79,72.0,13330.026871027125
1,2.0,4,0.35,30,79,72.0,13330.026871027125
1,2.0,4,0.4,30,78,71.71717171717171,12965.794728169962
1,2.0,5,0.3,30,52,79.41176470588235,12710.453361833997
1,2.0,5,0.3,20,52,79.41176470588235,12710.453361833997
1,2.0,5,0.3,15,52,79.41176470588235,12710.453361833997
1,2.2,4,0.4,15,74,75.0,12137.321368244517
1,2.2,4,0.35,15,74,75.0,12137.321368244517
1,2.2,4,0.3,15,74,75.0,12137.321368244517
1,2.0,4,0.3,15,76,72.16494845360825,12080.540864704513
1,2.0,4,0.35,15,76,72.16494845360825,12080.540864704513
1,2.0,5,0.4,20,51,79.1044776119403,11913.390861834187
1,2.0,5,0.4,30,51,79.1044776119403,11913.390861834187
1,2.0,5,0.35,15,51,79.1044776119403,11913.390861834187
1,2.0,5,0.35,20,51,79.1044776119403,11913.390861834187
1,2.0,5,0.35,30,51,79.1044776119403,11913.390861834187
1,2.0,5,0.4,15,51,79.1044776119403,11913.390861834187
1,2.0,4,0.4,15,75,71.875,11716.30872184735
1,2.0,4,0.35,20,78,71.71717171717171,11660.010582540732
1,2.0,4,0.3,20,78,71.71717171717171,11660.010582540732
1,2.2,4,0.3,20,76,74.48979591836735,11556.588611526946
1,2.2,4,0.35,20,76,74.48979591836735,11556.588611526946
1,2.2,4,0.4,20,76,74.48979591836735,11556.588611526946
1,2.0,4,0.4,20,77,71.42857142857143,11295.778439683569
3,2.0,5,0.3,20,38,71.11111111111111,10563.544135114365
3,2.0,5,0.3,15,38,71.11111111111111,10563.544135114365
3,2.0,5,0.3,30,38,71.11111111111111,10563.544135114365
3,2.0,5,0.35,20,37,69.76744186046511,10515.309957369815
3,2.0,5,0.4,15,37,69.76744186046511,10515.309957369815
3,2.0,5,0.4,30,37,69.76744186046511,10515.309957369815
3,2.0,5,0.35,15,37,69.76744186046511,10515.309957369815
3,2.0,5,0.35,30,37,69.76744186046511,10515.309957369815
3,2.0,5,0.4,20,37,69.76744186046511,10515.309957369815
3,2.2,5,0.35,15,37,72.72727272727273,9883.682569113196
3,2.2,5,0.35,20,37,72.72727272727273,9883.682569113196
3,2.2,5,0.35,30,37,72.72727272727273,9883.682569113196
3,2.2,5,0.4,15,37,72.72727272727273,9883.682569113196
3,2.2,5,0.4,20,37,72.72727272727273,9883.682569113196
3,2.2,5,0.4,30,37,72.72727272727273,9883.682569113196
3,2.2,5,0.3,15,38,73.91304347826086,9814.54196102731
3,2.2,5,0.3,20,38,73.91304347826086,9814.54196102731
3,2.2,5,0.3,30,38,73.91304347826086,9814.54196102731
3,1.8,5,0.3,30,38,63.63636363636363,5723.133308677461
3,1.8,5,0.3,15,38,63.63636363636363,5723.133308677461
3,1.8,5,0.3,20,38,63.63636363636363,5723.133308677461
3,1.8,5,0.4,15,37,61.904761904761905,4829.691896244687
3,1.8,5,0.35,15,37,61.904761904761905,4829.691896244687
3,1.8,5,0.35,20,37,61.904761904761905,4829.691896244687
3,1.8,5,0.35,30,37,61.904761904761905,4829.691896244687
3,1.8,5,0.4,20,37,61.904761904761905,4829.691896244687
3,1.8,5,0.4,30,37,61.904761904761905,4829.691896244687
1,2.2,6,0.3,15,7,100.0,2645.080907877209
1,2.2,6,0.4,30,7,100.0,2645.080907877209
1,2.2,6,0.4,20,7,100.0,2645.080907877209
1,2.2,6,0.4,15,7,100.0,2645.080907877209
1,2.2,6,0.35,30,7,100.0,2645.080907877209
1,2.2,6,0.35,15,7,100.0,2645.080907877209
1,2.2,6,0.3,30,7,100.0,2645.080907877209
1,2.2,6,0.3,20,7,100.0,2645.080907877209
1,2.2,6,0.35,20,7,100.0,2645.080907877209
5,1.8,6,0.35,20,6,83.33333333333334,2300.3697990920773
5,1.8,6,0.4,15,6,83.33333333333334,2300.3697990920773
5,1.8,6,0.4,30,6,83.33333333333334,2300.3697990920773
5,1.8,6,0.3,15,6,83.33333333333334,2300.3697990920773
5,1.8,6,0.3,20,6,83.33333333333334,2300.3697990920773
5,1.8,6,0.3,30,6,83.33333333333334,2300.3697990920773
5,1.8,6,0.35,15,6,83.33333333333334,2300.3697990920773
5,1.8,6,0.4,20,6,83.33333333333334,2300.3697990920773
5,1.8,6,0.35,30,6,83.33333333333334,2300.3697990920773
5,2.0,6,0.4,30,5,80.0,1546.955818168717
