time,vwap,ema9,ema21,ema50,ema200,atr,adx,rsi,volume,vix,regime,setup,signal,score
2025-06-04 04:42:00,0.0,24579.64,24574.61,24579.64,24574.61,6.71,20.0,56.46,0.0,15.0,Checklist,Checklist Setup,HOLD,5
2025-06-04 04:43:00,0.0,24578.47,24574.54,24578.47,24574.54,7.27,20.0,48.99,0.0,15.0,Checklist,Checklist Setup,HOLD,2
2025-06-04 04:44:00,0.0,24578.53,24574.92,24578.53,24574.92,7.48,20.0,53.1,0.0,15.0,Checklist,Checklist Setup,HOLD,5
2025-06-04 04:45:00,0.0,24579.4,24575.65,24579.4,24575.65,7.45,20.0,53.81,0.0,15.0,Checklist,Checklist Setup,HOLD,5
2025-06-04 04:46:00,0.0,24579.36,24575.97,24579.36,24575.97,7.35,20.0,46.85,0.0,15.0,Checklist,Checklist Setup,HOLD,2
2025-06-04 04:47:00,0.0,24578.07,24575.69,24578.07,24575.69,7.42,20.0,39.66,0.0,15.0,Checklist,Checklist Setup,HOLD,2
2025-06-04 04:48:00,0.0,24576.71,24575.29,24576.71,24575.29,7.01,20.0,43.45,0.0,15.0,Checklist,Checklist Setup,HOLD,2
2025-06-04 04:49:00,0.0,24577.0,24575.55,24577.0,24575.55,7.2,20.0,50.55,0.0,15.0,Checklist,Checklist Setup,HOLD,5
2025-06-04 04:50:00,0.0,24579.08,24576.63,24579.08,24576.63,7.54,20.0,54.47,0.0,15.0,Checklist,Checklist Setup,HOLD,5
2025-06-04 04:51:00,0.0,24581.17,24577.8,24581.17,24577.8,7.01,20.0,50.8,0.0,15.0,Checklist,Checklist Setup,HOLD,5
2025-06-04 04:52:00,0.0,24583.76,24579.28,24583.76,24579.28,7.25,20.0,54.84,0.0,15.0,Checklist,Checklist Setup,HOLD,5
2025-06-04 04:53:00,0.0,24585.39,24580.43,24585.39,24580.43,6.62,20.0,63.04,0.0,15.0,Checklist,Checklist Setup,HOLD,4
2025-06-04 04:54:00,0.0,24587.35,24581.77,24587.35,24581.77,6.51,20.0,62.71,0.0,15.0,Checklist,Checklist Setup,HOLD,5
2025-06-04 04:55:00,0.0,24588.38,24582.75,24588.38,24582.75,6.69,20.0,61.57,0.0,15.0,Checklist,Checklist Setup,HOLD,4
2025-06-04 04:56:00,0.0,24588.67,24583.39,24588.67,24583.39,6.7,20.0,56.57,0.0,15.0,Checklist,Checklist Setup,HOLD,4
2025-06-04 04:57:00,0.0,24588.53,24583.81,24588.53,24583.81,6.15,20.0,62.59,0.0,15.0,Checklist,Checklist Setup,HOLD,3
2025-06-04 04:58:00,0.0,24587.53,24583.78,24587.53,24583.78,6.15,20.0,54.24,0.0,15.0,Checklist,Checklist Setup,HOLD,3
2025-06-04 04:59:00,0.0,24586.26,24583.55,24586.26,24583.55,6.04,20.0,48.43,0.0,15.0,Checklist,Checklist Setup,HOLD,2
2025-06-04 05:00:00,0.0,24586.15,24583.74,24586.15,24583.74,6.16,20.0,55.92,0.0,15.0,Checklist,Checklist Setup,HOLD,4
2025-06-04 05:01:00,0.0,24587.19,24584.43,24587.19,24584.43,6.12,20.0,67.0,0.0,15.0,Checklist,Checklist Setup,HOLD,5
2025-06-04 05:02:00,0.0,24588.39,24585.23,24588.39,24585.23,6.07,20.0,70.16,0.0,15.0,Checklist,Checklist Setup,HOLD,5
2025-06-04 05:03:00,0.0,24589.77,24586.15,24589.77,24586.15,5.85,20.0,67.24,0.0,15.0,Checklist,Checklist Setup,HOLD,5
2025-06-04 05:04:00,0.0,24591.91,24587.45,24591.91,24587.45,5.5,20.0,64.32,0.0,15.0,Checklist,Checklist Setup,HOLD,5
2025-06-04 05:05:00,0.0,24592.72,24588.22,24592.72,24588.22,5.75,20.0,56.73,0.0,15.0,Checklist,Checklist Setup,HOLD,4
2025-06-04 05:06:00,0.0,24592.45,24588.51,24592.45,24588.51,5.65,20.0,47.13,0.0,15.0,Checklist,Checklist Setup,HOLD,2
2025-06-04 05:07:00,0.0,24592.28,24588.79,24592.28,24588.79,5.47,20.0,49.67,0.0,15.0,Checklist,Checklist Setup,HOLD,2
2025-06-04 05:08:00,0.0,24592.26,24589.1,24592.26,24589.1,5.43,20.0,46.46,0.0,15.0,Checklist,Checklist Setup,HOLD,3
2025-06-04 05:09:00,0.0,24592.68,24589.58,24592.68,24589.58,5.26,20.0,52.23,0.0,15.0,Checklist,Checklist Setup,HOLD,5
2025-06-04 05:10:00,0.0,24593.58,24590.27,24593.58,24590.27,5.34,20.0,58.62,0.0,15.0,Checklist,Checklist Setup,HOLD,5
2025-06-04 05:11:00,0.0,24593.97,24590.75,24593.97,24590.75,5.31,20.0,58.89,0.0,15.0,Checklist,Checklist Setup,HOLD,4
2025-06-04 05:12:00,0.0,24594.46,24591.26,24594.46,24591.26,5.0,20.0,66.62,0.0,15.0,Checklist,Checklist Setup,HOLD,5
2025-06-04 05:13:00,0.0,24597.24,24592.81,24597.24,24592.81,5.7,20.0,78.02,0.0,15.0,Checklist,Checklist Setup,HOLD,5
2025-06-04 05:14:00,0.0,24597.95,24593.54,24597.95,24593.54,5.8,20.0,64.66,0.0,15.0,Checklist,Checklist Setup,HOLD,4
2025-06-04 05:15:00,0.0,24598.31,24594.1,24598.31,24594.1,5.7,20.0,58.96,0.0,15.0,Checklist,Checklist Setup,HOLD,4
2025-06-04 05:16:00,0.0,24598.86,24594.74,24598.86,24594.74,5.7,20.0,58.47,0.0,15.0,Checklist,Checklist Setup,HOLD,5
2025-06-04 05:17:00,0.0,24598.46,24594.93,24598.46,24594.93,5.96,20.0,51.6,0.0,15.0,Checklist,Checklist Setup,HOLD,3
2025-06-04 05:18:00,0.0,24597.15,24594.66,24597.15,24594.66,6.05,20.0,41.18,0.0,15.0,Checklist,Checklist Setup,HOLD,2
2025-06-04 05:19:00,0.0,24595.66,24594.21,24595.66,24594.21,5.84,20.0,43.2,0.0,15.0,Checklist,Checklist Setup,HOLD,2
2025-06-04 05:20:00,0.0,24594.03,24593.6,24594.03,24593.6,5.81,20.0,45.53,0.0,15.0,Checklist,Checklist Setup,HOLD,2
2025-06-04 05:21:00,0.0,24592.93,24593.14,24592.93,24593.14,5.92,20.0,46.57,0.0,15.0,Checklist,Checklist Setup,HOLD,3
2025-06-04 05:22:00,0.0,24591.56,24592.49,24591.56,24592.49,5.94,20.0,43.43,0.0,15.0,Checklist,Checklist Setup,HOLD,2
2025-06-04 05:23:00,0.0,24589.9,24591.65,24589.9,24591.65,5.95,20.0,38.13,0.0,15.0,Checklist,Checklist Setup,HOLD,2
2025-06-04 05:24:00,0.0,24588.52,24590.87,24588.52,24590.87,5.7,20.0,34.08,0.0,15.0,Checklist,Checklist Setup,HOLD,2
2025-06-04 05:25:00,0.0,24587.24,24590.07,24587.24,24590.07,5.89,20.0,34.67,0.0,15.0,Checklist,Checklist Setup,HOLD,2
2025-06-04 05:26:00,0.0,24586.61,24589.53,24586.61,24589.53,6.22,20.0,36.27,0.0,15.0,Checklist,Checklist Setup,HOLD,3
2025-06-04 05:27:00,0.0,24585.98,24588.98,24585.98,24588.98,5.4,20.0,12.84,0.0,15.0,Checklist,Checklist Setup,HOLD,2
2025-06-04 05:28:00,0.0,24585.89,24588.66,24585.89,24588.66,5.02,20.0,22.68,0.0,15.0,Checklist,Checklist Setup,HOLD,3
2025-06-04 05:29:00,0.0,24586.51,24588.69,24586.51,24588.69,5.05,20.0,32.35,0.0,15.0,Checklist,Checklist Setup,HOLD,4
2025-06-04 05:30:00,0.0,24587.76,24589.06,24587.76,24589.06,5.11,20.0,37.39,0.0,15.0,Checklist,Checklist Setup,HOLD,4
2025-06-04 05:31:00,0.0,24588.38,24589.22,24588.38,24589.22,4.77,20.0,40.2,0.0,15.0,Checklist,Checklist Setup,HOLD,3
2025-06-04 05:32:00,0.0,24588.7,24589.29,24588.7,24589.29,4.4,20.0,46.33,0.0,15.0,Checklist,Checklist Setup,HOLD,3
2025-06-04 05:33:00,0.0,24588.49,24589.15,24588.49,24589.15,4.4,20.0,46.15,0.0,15.0,Checklist,Checklist Setup,HOLD,2
